id,Fermi name,Counterpart name,Bzcat5 name,Optical Class,RA (J2000.0),Dec (J2000.0),LII,BII,AngSep(deg),Theta95(deg),Redshift,SED Class,Log nuSync.(Hz),Log nuSync.Z corr.(Hz),Probability Bayesian,Reliability LR RG,Reliability LR XG,Significance,Flux 1-100 GeV (ph/cm2/s),Flux 1-100 GeV Error,Spectral Index,Spectral Type,Power Law Index,Radio flux(mJy),Radio flag,X Flux(erg cm-2 s-1),USNOVmag,SDSSVmag,ARO,AOX,CLEAN
489,3FGL J0730.5+3307,1RXS J073026.0+330727,5BZBJ0730+3307,bll,112.6086014,33.12302985,185.87,22.04,0.016,0.046,0.112,ISP,14.875,14.921,1,0.000,0.91,8.53,0.00000000046993576,7.69e-11,2.1172,PowerLaw,2.12,9.2999,nvss,3.39e-12,18.307,17.36,0.3147,0.9768,Y
490,3FGL J0730.5-6606,PMN J0730-6602,, bcu II,112.7064957,-66.03857709,277.59,-20.79,0.072,0.061,0.000,HSP,15.25,15.25,0.97,0.000,0.85,8.58,0.00000000049133014,8.90e-11,1.7891,PowerLaw,1.79,81.3,sumss,5.98e-12,15.132,0.000,0.237,1.4585,Y
491,3FGL J0732.2-4638,PKS 0731-465,, bcu II,113.1846185,-46.67144678,259.11,-12.85,0.087,0.128,0.000,LSP,13.32,13.32,0.98,0.93,0.000,10.85,0.00000000076162987,1.24e-10,2.3539,LogParabola,2.56,1403,sumss,2.71e-12,20.27,0.000,0.7949,0.8312,Y
492,3FGL J0733.5+5153,4C +52.17,, agn,113.412672,51.9058359,165.99,27.35,0.017,0.083,0.000,-,0.000,0.000,0.000,0.94,0.000,6.25,0.00000000025263791,6.50e-11,1.7408,PowerLaw,1.74,846.9014,nvss,0.000,20.23,0.000,0.7588,-9.9,N
493,3FGL J0733.5+5153,NVSS J073326+515355,, bcu III,113.361633479,51.8988660389,166,27.31,0.023,0.083,0.000,-,0.000,0.000,1,0.000,0.000,6.25,0.00000000025263791,6.50e-11,1.7408,PowerLaw,1.74,25,nvss,0.000,11.9392,0.000,-0.1154,1.8812,N
494,3FGL J0733.8+4108,GB6 J0733+4111,5BZBJ0733+4111,bll,113.445574,41.1887809,177.66,25.04,0.05,0.078,0.67,ISP,14.325,14.548,1,0.000,0.000,6.82,0.0000000003678256,6.88e-11,2.2221,PowerLaw,2.22,24.2741,nvss,0.000,17.757,17.74,0.3376,-9.9,Y
495,3FGL J0733.8+5021,TXS 0730+504,5BZQJ0733+5022,fsrq,113.4688358,50.36918391,167.7,27.11,0.016,0.068,0.72,LSP,13.06,13.296,1,0.94,0.000,8.98,0.00000000043361142,7.16e-11,2.5038,PowerLaw,2.5,770.1669,nvss,0.000,18.2812,0.000,0.7438,1.257,Y
496,3FGL J0734.3-7709,PKS 0736-770,, bcu II,113.6809154,-77.18707956,289.13,-24.06,0.035,0.051,0.000,LSP,12.515,12.515,1,0.88,0.000,17.21,0.0000000013898808,1.22e-10,2.2903,PowerLaw,2.29,211.6,sumss,0.000,21.89,0.000,0.8523,1.1884,Y
497,3FGL J0738.1+1741,PKS 0735+17,5BZBJ0738+1742,bll,114.5308073,17.70527725,201.84,18.07,0.009,0.017,0.424,LSP,13.83,13.984,1,0.98,0.93,55.35,0.0000000054815419,1.99e-10,2.0064,PowerLaw,2.01,2258.2659,nvss,2.09e-12,15.9798,14.88,0.499,1.5932,Y
498,3FGL J0739.4+0137,PKS 0736+01,5BZQJ0739+0137,fsrq,114.8251412,1.617949369,216.99,11.38,0.027,0.041,0.18941,ISP,14.05,14.125,1,0.97,0.92,38.99,0.0000000027340228,1.62e-10,2.2454,LogParabola,2.48,1964.9073,nvss,6.36e-12,16.2255,0.000,0.6291,1.1901,Y
